Txn_ID,User_ID,Tran_Source,Create_Date,Txn_Amount,From_Account,To_Account,Resp_Code,Tracer_No,Txn_Type,Particulars,Remarks,Device,IP_Address,Country,city_name,Latitude,Longitude
TXN2728811648,U10015,ATM,2025-12-15 08:40:14.666974,17181.68,AC1792588889,AC6993299468,0,487607,Fund_Transfer,Transfer to {{BEN}},Successful,ATM,192.168.89.155,Bangladesh,Dhaka,23.8103,90.4125
TXN6269751228,U10015,MobileApp,2025-12-20 01:23:19.006967,6982.34,AC4943555918,AC7053216005,0,786066,Fund_Transfer,Transfer to {{BEN}},Successful,Android,192.168.138.165,Bangladesh,Chattogram,22.3569,91.7832
TXN6319651104,U10015,MobileApp,2025-12-28 14:37:27.419400,4125.66,AC8500357411,AC9275282997,0,639986,Fund_Transfer,Transfer to {{BEN}},Successful,Android,192.168.152.221,Bangladesh,Jessore,23.171,89.2024
TXN4777499045,U10016,Internet,2025-12-14 15:21:40.941729,24908.29,AC4661687050,AC5466455902,0,100634,Fund_Transfer,Transfer to {{BEN}},Successful,Android,192.168.109.10,Bangladesh,Khulna,22.8456,89.5403
TXN7601438469,U10016,MobileApp,2025-12-26 07:35:29.669067,915.59,AC7478336991,AC9765039974,12,489144,Fund_Transfer,Transfer to {{BEN}},Invalid txn,iOS,192.168.251.204,Bangladesh,Barishal,22.701,90.3535
TXN6912174290,U10016,ATM,2025-12-26 12:57:31.527675,3488.0,AC7130632852,AC7663270094,0,765943,Merchant_Payment,POS Purchase,Successful,ATM,192.168.89.25,Bangladesh,Dhaka,23.8103,90.4125
TXN6649646528,U10017,MobileApp,2025-12-01 18:36:34.911830,12740.38,AC1055529160,AC6509970464,12,976806,Cash_Withdrawal,ATM Cash Withdrawal,Invalid txn,Web,192.168.121.246,Bangladesh,Chattogram,22.3569,91.7832
TXN1138370797,U10017,ATM,2025-12-05 19:37:48.331435,17232.79,AC9545178107,AC8449461476,0,119609,Merchant_Payment,POS Purchase,Successful,Android,192.168.106.151,Bangladesh,Chattogram,22.3569,91.7832
TXN9489429818,U10017,Internet,2025-12-13 17:43:45.838735,6982.43,AC5803335427,AC5910833772,0,281174,Bill_Payment,Electricity Bill,Successful,Android,192.168.153.68,Bangladesh,Dhaka,23.8103,90.4125
TXN4512946070,U10018,POS,2025-12-10 15:53:06.652664,1448.8,AC3878807291,AC7845050206,0,110848,Fund_Transfer,Transfer to {{BEN}},Successful,Web,192.168.218.134,Bangladesh,Khulna,22.8456,89.5403
TXN3529000325,U10019,ATM,2025-12-06 06:24:00.196637,2530.66,AC3690205695,AC5589293341,0,222073,Fund_Transfer,Transfer to {{BEN}},Successful,Android,192.168.232.48,Bangladesh,Dhaka,23.8103,90.4125
TXN9260727064,U10019,Internet,2025-12-07 12:13:13.869717,16123.67,AC5341187911,AC5687998847,0,598050,Bill_Payment,Electricity Bill,Successful,Android,192.168.213.208,Bangladesh,Sylhet,24.8949,91.8687
TXN9610044231,U10019,Internet,2025-12-26 15:47:48.755599,42292.16,AC8331503730,AC8769965652,0,136592,Bill_Payment,Electricity Bill,Successful,Android,192.168.187.113,Bangladesh,Bogra,24.85,89.37
TXN9434716767,U10020,MobileApp,2025-12-16 17:19:23.553917,2133.43,AC9692277689,AC6619728593,0,832639,Fund_Transfer,Transfer to {{BEN}},Successful,Android,192.168.125.87,Bangladesh,Barishal,22.701,90.3535
TXN4276126833,U10020,ATM,2025-12-29 12:31:29.156893,7079.38,AC5064162661,AC2602706185,0,375178,Bill_Payment,Electricity Bill,Successful,ATM,192.168.96.232,Bangladesh,Chattogram,22.3569,91.7832
TXN2011236207,U10021,ATM,2025-12-02 10:14:34.256096,10652.95,AC8275112032,AC9076045219,0,237528,Fund_Transfer,Transfer to {{BEN}},Successful,Android,192.168.141.147,Bangladesh,Dhaka,23.8103,90.4125
TXN5362202048,U10021,Internet,2025-12-06 12:31:40.001508,13000.07,AC5532544863,AC3563051449,12,480797,Fund_Transfer,Transfer to {{BEN}},Invalid txn,Web,192.168.52.58,Bangladesh,Dhaka,23.8103,90.4125
TXN9965816115,U10021,MobileApp,2025-12-14 20:07:59.746653,6156.15,AC1227571500,AC2226796604,0,500522,Fund_Transfer,Transfer to {{BEN}},Successful,Web,192.168.43.175,Bangladesh,Bogra,24.85,89.37
TXN2445774571,U10021,POS,2025-12-17 17:43:28.832013,2316.01,AC8118659684,AC4295220966,12,732383,Bill_Payment,Electricity Bill,Invalid txn,iOS,192.168.220.99,Bangladesh,Dhaka,23.8103,90.4125
TXN1641253828,U10021,POS,2025-12-26 20:32:05.726635,4000.61,AC1272116576,AC6921260090,12,490153,Fund_Transfer,Transfer to {{BEN}},Invalid txn,Android,192.168.37.151,Bangladesh,Barishal,22.701,90.3535
TXN9448239909,U10022,MobileApp,2025-12-29 14:04:53.320664,5309.4,AC3670339486,AC1658613996,0,985523,Fund_Transfer,Transfer to {{BEN}},Successful,iOS,192.168.89.69,Bangladesh,Dhaka,23.8103,90.4125
TXN3739995204,U10024,Internet,2025-12-14 11:00:06.486445,36049.41,AC6641981418,AC5023127495,0,826151,Bill_Payment,Electricity Bill,Successful,iOS,192.168.163.237,Bangladesh,Khulna,22.8456,89.5403
TXN7874499503,U10025,Internet,2025-12-13 09:28:32.370205,23798.43,AC1347971040,AC6264501268,0,517779,Merchant_Payment,POS Purchase,Successful,ATM,192.168.30.117,Bangladesh,Feni,23.014,91.4
TXN2776854171,U10025,POS,2025-12-14 17:56:13.564017,4170.02,AC8775210431,AC9711119272,0,976723,Fund_Transfer,Transfer to {{BEN}},Successful,iOS,192.168.116.226,Bangladesh,Chattogram,22.3569,91.7832
TXN8086338306,U10025,MobileApp,2025-12-25 12:24:07.821786,1148.83,AC2528089151,AC6801755708,0,182526,Fund_Transfer,Transfer to {{BEN}},Successful,Android,192.168.11.75,Bangladesh,Dhaka,23.8103,90.4125
TXN2650837199,U10025,POS,2025-12-27 19:01:58.175332,2261.32,AC1553155132,AC9526204403,0,163009,Bill_Payment,Electricity Bill,Successful,Web,192.168.77.158,Bangladesh,Khulna,22.8456,89.5403
TXN6252102791,U10026,Internet,2025-12-12 12:04:44.311921,15325.44,AC4553177537,AC3959727279,0,442686,Fund_Transfer,Transfer to {{BEN}},Successful,iOS,192.168.60.183,Bangladesh,Others,23.5,90.5
TXN3405412556,U10026,ATM,2025-12-25 09:17:14.815550,15841.69,AC1423477673,AC1331150946,0,232206,Merchant_Payment,POS Purchase,Successful,Android,192.168.16.143,Bangladesh,Sylhet,24.8949,91.8687
TXN4482941486,U10027,MobileApp,2025-12-16 16:26:28.761856,862.11,AC3061795739,AC4780778080,0,196118,Cash_Withdrawal,ATM Cash Withdrawal,Successful,Android,192.168.106.200,Bangladesh,Narayanganj,23.6236,90.5
TXN5856383970,U10028,POS,2025-12-12 00:16:38.799641,1184.1,AC8111439523,AC7699898534,12,783515,Merchant_Payment,POS Purchase,Invalid txn,ATM,192.168.247.58,Bangladesh,Dhaka,23.8103,90.4125
TXN3547412288,U10028,ATM,2025-12-12 09:07:04.760938,11040.62,AC2206800774,AC8584282224,12,978062,Bill_Payment,Electricity Bill,Invalid txn,ATM,192.168.186.171,Bangladesh,Jessore,23.171,89.2024
TXN6945124251,U10028,POS,2025-12-24 18:16:20.664617,5132.13,AC6845618778,AC9737870805,0,347173,Fund_Transfer,Transfer to {{BEN}},Successful,Web,192.168.86.106,Bangladesh,Sylhet,24.8949,91.8687
TXN3163037137,U10029,Internet,2025-12-29 07:22:44.644973,5098.43,AC3793012347,AC4840353278,12,180932,Bill_Payment,Electricity Bill,Invalid txn,iOS,192.168.98.226,Bangladesh,Dhaka,23.8103,90.4125
TXN6955113175,U10031,Internet,2025-12-13 12:36:21.843011,3744.11,AC9792438841,AC3857877485,0,247123,Fund_Transfer,Transfer to {{BEN}},Successful,Android,192.168.139.235,Bangladesh,Sylhet,24.8949,91.8687
TXN6530480641,U10031,ATM,2025-12-23 20:27:32.660615,8906.04,AC9922377892,AC1781842766,0,891211,Bill_Payment,Electricity Bill,Successful,Android,192.168.174.165,Bangladesh,Dhaka,23.8103,90.4125
TXN7661547856,U10032,ATM,2025-12-27 12:47:20.547338,6880.67,AC9256237678,AC7190991834,0,847149,Merchant_Payment,POS Purchase,Successful,iOS,192.168.186.73,Bangladesh,Dhaka,23.8103,90.4125
TXN4577167894,U10033,MobileApp,2025-11-30 14:02:44.210660,7293.79,AC7047787147,AC6280957506,0,667650,Merchant_Payment,POS Purchase,Successful,ATM,192.168.51.198,Bangladesh,Barishal,22.701,90.3535
TXN7046263076,U10033,MobileApp,2025-12-12 21:28:23.325335,8213.93,AC9516257083,AC7078637237,0,204365,Merchant_Payment,POS Purchase,Successful,Android,192.168.224.59,Bangladesh,Others,23.5,90.5
TXN2664567118,U10034,Internet,2025-12-27 17:27:14.535092,13760.81,AC2168581014,AC5590437336,0,949194,Merchant_Payment,POS Purchase,Successful,ATM,192.168.10.203,Bangladesh,Others,23.5,90.5
TXN5651186135,U10035,POS,2025-12-24 16:18:14.766136,4964.41,AC6202172718,AC9823173143,0,146127,Refund,Refund to {{USER}},Successful,Android,192.168.206.66,Bangladesh,Narayanganj,23.6236,90.5
TXN7746457891,U10035,POS,2025-12-30 19:06:56.577479,6097.45,AC7223943059,AC5621880259,0,421137,Bill_Payment,Electricity Bill,Successful,Android,192.168.152.75,Bangladesh,Khulna,22.8456,89.5403
TXN7641098684,U10036,POS,2025-12-06 16:22:25.377889,1606.2,AC4817889356,AC9084452122,0,226723,Bill_Payment,Electricity Bill,Successful,Android,192.168.98.135,Bangladesh,Jessore,23.171,89.2024
TXN5254286823,U10036,Internet,2025-12-10 18:53:30.951832,550.15,AC9168831727,AC4227247434,0,833680,Fund_Transfer,Transfer to {{BEN}},Successful,Android,192.168.167.105,Bangladesh,Dhaka,23.8103,90.4125
TXN9362789699,U10036,ATM,2025-12-13 07:17:17.467007,14512.07,AC3172128474,AC7310674312,0,355619,Cash_Withdrawal,ATM Cash Withdrawal,Successful,Android,192.168.156.79,Bangladesh,Dhaka,23.8103,90.4125
TXN3361251770,U10036,POS,2025-12-13 12:19:27.491690,3824.75,AC8247166845,AC7808443180,0,743268,Fund_Transfer,Transfer to {{BEN}},Successful,POS,192.168.243.58,Bangladesh,Chattogram,22.3569,91.7832
TXN4812868043,U10036,ATM,2025-12-29 01:38:43.655282,12299.99,AC8969118675,AC6149609032,0,863729,Fund_Transfer,Transfer to {{BEN}},Successful,Android,192.168.128.190,Bangladesh,Chattogram,22.3569,91.7832
TXN3096466014,U10037,POS,2025-12-11 04:35:42.982166,742.81,AC8167734924,AC9684342575,0,510177,Fund_Transfer,Transfer to {{BEN}},Successful,ATM,192.168.148.213,Bangladesh,Rajshahi,24.3636,88.6241
TXN7557274270,U10037,Internet,2025-12-20 17:39:29.588480,38312.88,AC9175854014,AC1344501757,0,531328,Merchant_Payment,POS Purchase,Successful,Android,192.168.143.155,Bangladesh,Chattogram,22.3569,91.7832
TXN6085304681,U10037,POS,2025-12-27 13:37:11.996990,1371.46,AC5578762845,AC1230172478,0,533210,Fund_Transfer,Transfer to {{BEN}},Successful,iOS,192.168.3.167,Bangladesh,Kustia,,
TXN7588670729,U10038,ATM,2025-12-06 16:46:25.347929,6786.98,AC1830730735,AC2673881285,12,921696,Fund_Transfer,Transfer to {{BEN}},Invalid txn,Web,192.168.222.183,Bangladesh,Sylhet,24.8949,91.8687
TXN6469542508,U10038,Internet,2025-12-14 13:37:30.150539,20839.94,AC7025506317,AC8018631552,0,177652,Fund_Transfer,Transfer to {{BEN}},Successful,Android,192.168.83.202,Bangladesh,Barishal,22.701,90.3535
TXN9635567818,U10038,ATM,2025-12-22 18:13:44.055120,12986.8,AC9130577875,AC8249844412,0,646451,Fund_Transfer,Transfer to {{BEN}},Successful,Android,192.168.168.108,Bangladesh,Dhaka,23.8103,90.4125
TXN3241468627,U10038,MobileApp,2025-12-23 13:48:58.678732,3405.87,AC5487789349,AC1849050283,0,363892,Bill_Payment,Electricity Bill,Successful,Android,192.168.117.30,Bangladesh,Dhaka,23.8103,90.4125
TXN3293774358,U10038,Internet,2025-12-25 20:01:00.664928,11636.68,AC6365953932,AC6848218194,0,215792,Bill_Payment,Electricity Bill,Successful,iOS,192.168.111.212,Bangladesh,Dhaka,23.8103,90.4125
TXN3247467080,U10038,Internet,2025-12-29 15:55:03.092064,18861.87,AC3313362948,AC9636584281,0,428679,Bill_Payment,Electricity Bill,Successful,Android,192.168.136.248,Bangladesh,Dhaka,23.8103,90.4125
TXN2543356025,U10039,POS,2025-12-05 13:18:11.767579,4532.86,AC2922976703,AC5356180802,0,683984,Fund_Transfer,Transfer to {{BEN}},Successful,POS,192.168.166.199,Bangladesh,Dhaka,23.8103,90.4125
TXN4719298639,U10039,MobileApp,2025-12-29 22:22:49.251771,12589.24,AC6456777225,AC1456956454,0,234174,Merchant_Payment,POS Purchase,Successful,iOS,192.168.179.226,Bangladesh,Chattogram,22.3569,91.7832
TXN7856669914,U10040,POS,2025-12-22 11:41:04.904978,1155.89,AC8177587015,AC5622828161,0,816485,Fund_Transfer,Transfer to {{BEN}},Successful,iOS,192.168.1.112,Bangladesh,Others,23.5,90.5
TXN3775756742,U10041,Internet,2025-12-03 15:26:08.930172,12963.27,AC1511118413,AC5751616982,12,698455,Fund_Transfer,Transfer to {{BEN}},Invalid txn,Web,192.168.83.64,Bangladesh,Chattogram,22.3569,91.7832
TXN6220962959,U10041,MobileApp,2025-12-03 17:04:35.782391,9250.45,AC2477170045,AC1032482528,0,349305,Fund_Transfer,Transfer to {{BEN}},Successful,Android,192.168.226.97,Bangladesh,Dhaka,23.8103,90.4125
TXN3699220549,U10041,Internet,2025-12-11 11:10:22.303979,19345.7,AC8776649480,AC4485734264,0,879898,Fund_Transfer,Transfer to {{BEN}},Successful,Android,192.168.229.103,Bangladesh,Others,23.5,90.5
TXN8627600121,U10041,Internet,2025-12-29 13:42:18.855740,9839.85,AC4541181823,AC8443556538,12,841431,Fund_Transfer,Transfer to {{BEN}},Invalid txn,iOS,192.168.218.95,Bangladesh,Bogra,24.85,89.37
TXN8223351798,U10042,MobileApp,2025-12-10 17:05:55.825004,2668.57,AC2474919091,AC3145889910,0,305689,Bill_Payment,Electricity Bill,Successful,iOS,192.168.224.114,Bangladesh,Dhaka,23.8103,90.4125
TXN8313063235,U10042,Internet,2025-12-21 20:12:12.891180,12916.22,AC2974740440,AC3149769861,0,365432,Fund_Transfer,Transfer to {{BEN}},Successful,Android,192.168.36.166,Bangladesh,Chattogram,22.3569,91.7832
TXN5834596122,U10043,POS,2025-12-01 10:42:01.339610,6140.13,AC6295921785,AC1935827405,12,396492,Cash_Withdrawal,ATM Cash Withdrawal,Invalid txn,Web,192.168.246.234,Bangladesh,Chattogram,22.3569,91.7832
TXN5553643674,U10043,MobileApp,2025-12-28 20:49:06.797193,2058.77,AC9673473352,AC1914537822,0,465389,Fund_Transfer,Transfer to {{BEN}},Successful,POS,192.168.242.150,Bangladesh,Dhaka,23.8103,90.4125
TXN7559855846,U10044,MobileApp,2025-12-17 13:19:20.896564,4450.5,AC7509920223,AC2992776141,0,811268,Bill_Payment,Electricity Bill,Successful,Android,192.168.2.219,Bangladesh,Others,23.5,90.5
TXN3251237031,U10045,POS,2025-12-07 14:03:08.785226,816.6,AC7771369314,AC1295626762,0,234814,Refund,Refund to {{USER}},Successful,Android,192.168.108.135,Bangladesh,Sylhet,24.8949,91.8687
TXN5616465878,U10045,MobileApp,2025-12-23 19:32:18.774035,7182.52,AC8903267916,AC6812694123,12,685352,Cash_Withdrawal,ATM Cash Withdrawal,Invalid txn,Web,192.168.150.220,Bangladesh,Khulna,22.8456,89.5403
TXN9603770538,U10045,Internet,2025-12-26 13:23:07.506009,17850.23,AC1018512167,AC1544956113,0,192877,Cash_Withdrawal,ATM Cash Withdrawal,Successful,POS,192.168.28.241,Bangladesh,Chattogram,22.3569,91.7832
TXN2480232764,U10045,POS,2025-12-27 20:54:09.303964,1452.09,AC6413333721,AC1219800430,0,292779,Fund_Transfer,Transfer to {{BEN}},Successful,iOS,192.168.214.99,Bangladesh,Dhaka,23.8103,90.4125
TXN4634165306,U10046,MobileApp,2025-12-11 10:48:56.738841,11467.05,AC4027624140,AC6816368773,0,811866,Merchant_Payment,POS Purchase,Successful,iOS,192.168.83.103,Bangladesh,Chattogram,22.3569,91.7832
TXN5187697753,U10046,POS,2025-12-11 19:19:46.408145,4549.26,AC4676180927,AC4746357519,0,239977,Fund_Transfer,Transfer to {{BEN}},Successful,iOS,192.168.174.249,Bangladesh,Dhaka,23.8103,90.4125
TXN2114989174,U10046,POS,2025-12-17 09:42:43.115677,726.23,AC2329787120,AC2170393331,0,573148,Bill_Payment,Electricity Bill,Successful,Android,192.168.71.195,Bangladesh,Dhaka,23.8103,90.4125
TXN9378202981,U10047,MobileApp,2025-12-13 16:46:46.803792,1711.98,AC3969187053,AC8732866018,12,506530,Fund_Transfer,Transfer to {{BEN}},Invalid txn,ATM,192.168.142.118,Bangladesh,Dhaka,23.8103,90.4125
TXN2309419804,U10048,MobileApp,2025-12-06 17:36:42.405394,4360.45,AC4355786924,AC1753910511,0,395155,Fund_Transfer,Transfer to {{BEN}},Successful,Android,192.168.36.4,Bangladesh,Rangpur,25.7439,89.2752
TXN9910024163,U10048,MobileApp,2025-12-16 20:00:49.854810,1850.38,AC5640730110,AC1014550394,0,716640,Merchant_Payment,POS Purchase,Successful,Android,192.168.16.239,Bangladesh,Dhaka,23.8103,90.4125
TXN7996049307,U10048,Internet,2025-12-26 10:46:47.002869,2539.65,AC6046764955,AC6118307064,0,112642,Cash_Withdrawal,ATM Cash Withdrawal,Successful,iOS,192.168.169.205,Bangladesh,Chattogram,22.3569,91.7832
TXN5211930083,U10049,ATM,2025-12-06 18:07:44.587242,5084.02,AC1820073795,AC7561706564,0,623995,Fund_Transfer,Transfer to {{BEN}},Successful,POS,192.168.127.33,Bangladesh,Chattogram,22.3569,91.7832
TXN6834569652,U10049,Internet,2025-12-26 16:30:38.448752,4093.66,AC3821318197,AC7664244398,0,652226,Merchant_Payment,POS Purchase,Successful,iOS,192.168.98.154,Bangladesh,Dhaka,23.8103,90.4125
TXN7118132734,U10049,ATM,2025-12-26 21:03:02.299463,10326.61,AC3514338416,AC6378630696,0,997627,Fund_Transfer,Transfer to {{BEN}},Successful,ATM,192.168.154.118,Bangladesh,Narayanganj,23.6236,90.5
TXN2731973015,U10050,POS,2025-12-03 20:21:34.493586,6079.93,AC4618248761,AC6431495259,12,271579,Cash_Withdrawal,ATM Cash Withdrawal,Invalid txn,Web,192.168.187.146,Bangladesh,Rangpur,25.7439,89.2752
TXN8841200776,U10050,MobileApp,2025-12-26 06:37:18.886154,4418.4,AC8834442368,AC7344022615,0,334947,Merchant_Payment,POS Purchase,Successful,Android,192.168.153.210,Bangladesh,Others,23.5,90.5
TXN2204643913,U10051,POS,2025-12-09 16:55:55.023906,2362.19,AC2830053148,AC3441804905,12,556537,Bill_Payment,Electricity Bill,Invalid txn,Android,192.168.155.193,Bangladesh,Others,23.5,90.5
TXN9527317042,U10051,ATM,2025-12-14 11:45:07.761149,10696.32,AC2565924911,AC1031303708,12,408052,Fund_Transfer,Transfer to {{BEN}},Invalid txn,Android,192.168.10.98,Bangladesh,Rajshahi,24.3636,88.6241
TXN8610417019,U10051,MobileApp,2025-12-16 16:15:41.863459,5149.01,AC2877473277,AC3715227050,0,160513,Bill_Payment,Electricity Bill,Successful,ATM,192.168.57.48,Bangladesh,Dhaka,23.8103,90.4125
TXN4589040988,U10051,POS,2025-12-20 13:26:23.599751,2453.33,AC3769682046,AC2742160654,0,267170,Bill_Payment,Electricity Bill,Successful,Android,192.168.212.35,Bangladesh,Dhaka,23.8103,90.4125
TXN3191429746,U10051,MobileApp,2025-12-20 17:32:42.282734,7649.62,AC2887051611,AC6956735061,0,383608,Cash_Withdrawal,ATM Cash Withdrawal,Successful,ATM,192.168.105.200,Bangladesh,Dhaka,23.8103,90.4125
